"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"19,52";"IARA : FORMA PARA GELO JAGUAR";"10327";"UN 1";"0,010";"0,10";"0,00";"0,07";"0,00";"72,75";"";"100,00";"0,07";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,03";"0,02";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,56";"IARA : FORROZINHO DE COCO Kg";"17506";"KG 1";"0,412";"11,93";"0,04";"2,55";"0,03";"21,34";"46,51";"31,75";"2,55";"0,03";"21,34";"0,000";"0,00";"0,000";"8,14";"6,85";"0,00";"0,00";"2,54";"1,43";"0,20";"0,91";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,56";"IARA : FRIGID TRAMONTINA ALUM LORETO 24cm VERMELHO";"10610";"UN 1";"0,019";"1,26";"0,00";"0,92";"0,01";"72,75";"";"100,00";"0,92";"0,01";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,34";"0,23";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,56";"IARA : FRIGID TRAMONTINA ALUM WOK 24cm LORETO GRAFITE";"10401";"UN 1";"0,020";"1,16";"0,00";"0,84";"0,01";"72,75";"";"100,00";"0,84";"0,01";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,32";"0,21";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,56";"IARA : GEL DE LIMPEZA GARNIER U&M 150g ANTIBACTERIANO";"11336";"UN 1";"0,024";"0,95";"0,00";"0,31";"0,00";"32,41";"55,60";"35,73";"0,31";"0,00";"32,41";"0,004";"0,00";"0,000";"0,61";"0,56";"0,00";"0,00";"0,09";"0,00";"0,02";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,57";"IARA : GEL DENTAL CARMED 70g FINI BEIJOS";"12472";"UN 1";"0,065";"1,82";"0,01";"0,51";"0,01";"27,92";"59,15";"37,17";"0,51";"0,01";"27,92";"0,006";"0,00";"0,000";"1,15";"1,15";"0,00";"0,00";"0,17";"0,00";"0,03";"0,14";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,58";"IARA : GEL DENTAL CARMED 70g FINI DENTADURAS";"12477";"UN 1";"0,130";"3,64";"0,01";"3,30";"0,03";"90,75";"";"100,00";"3,30";"0,03";"90,75";"0,012";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,34";"0,00";"0,06";"0,28";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,58";"IARA : GEL DENTAL CONDOR 6+ ANOS LV3PG2 BARBIE";"6096";"UN 1";"0,095";"1,62";"0,00";"0,47";"0,00";"29,01";"61,96";"38,26";"0,47";"0,00";"29,01";"0,017";"0,00";"0,000";"1,00";"1,00";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,58";"IARA : GEL DENTAL CONDOR 6+ ANOS LV3PG2 HOTWHEELS";"6099";"UN 1";"0,081";"1,38";"0,00";"0,40";"0,00";"29,01";"61,96";"38,26";"0,40";"0,00";"29,01";"0,015";"0,00";"0,000";"0,85";"0,85";"0,00";"0,00";"0,13";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,60";"IARA : GEL DENTAL SORRISO FRESH 90g MENTHOL IMPACT";"14369";"UN 1";"0,990";"7,51";"0,02";"6,82";"0,07";"90,75";"";"100,00";"6,82";"0,07";"90,75";"0,106";"0,01";"0,089";"0,00";"0,00";"0,00";"0,00";"0,70";"0,00";"0,12";"0,57";"0,00";"0,00";"0,00";"0,03";"0,00"
"19,61";"IARA : GEL DENTAL TANDY 50g TUTTI-FRUTTI";"3383";"UN 1";"0,270";"2,97";"0,01";"2,69";"0,03";"90,75";"";"100,00";"2,69";"0,03";"90,75";"0,016";"0,00";"0,014";"0,00";"0,00";"0,00";"0,00";"0,27";"0,00";"0,05";"0,23";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,62";"IARA : GEL DENTAL TANDY COM 2 50g MORANGOSTOSO";"15997";"UN 1";"0,200";"3,40";"0,01";"0,88";"0,01";"25,95";"54,31";"35,20";"0,88";"0,01";"25,95";"0,025";"0,00";"0,000";"2,20";"2,20";"0,00";"0,00";"0,31";"0,00";"0,06";"0,26";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,63";"IARA : GEL FIXADOR CLEAR MEN 300g";"5818";"UN 1";"0,122";"3,30";"0,01";"0,94";"0,01";"28,50";"60,65";"37,75";"0,94";"0,01";"28,50";"0,044";"0,00";"0,037";"2,06";"2,06";"0,00";"0,00";"0,31";"0,00";"0,05";"0,25";"0,00";"0,00";"0,00";"0,03";"0,00"
"19,63";"IARA : GEL FIXADOR MOOD 220g EXTRA FORTE";"872";"UN 1";"0,171";"1,37";"0,00";"0,03";"0,00";"2,28";"13,04";"11,53";"0,03";"0,00";"2,28";"0,040";"0,00";"0,000";"1,21";"1,21";"0,00";"0,00";"0,13";"0,00";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,63";"IARA : GEL HIGIENIZANTE GIOVANNA 500ml BABY CLASSIC";"9847";"UN 1";"0,010";"0,19";"0,00";"0,14";"0,00";"72,75";"";"100,00";"0,14";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,05";"0,03";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,63";"IARA : GEL LIMP FACIL VULT ANTIOLESIDADE 150g";"8677";"UN 1";"0,046";"0,79";"0,00";"-0,05";"0,00";"-5,78";"3,60";"3,47";"-0,05";"0,00";"-5,78";"0,000";"0,00";"0,000";"0,76";"0,76";"0,00";"0,00";"0,07";"0,00";"0,01";"0,06";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,64";"IARA : GEL ODORIZ GRAND PRIX AUTOMOTIV 70g CARRO NOVO";"18924";"UN 1";"0,163";"2,12";"0,01";"0,44";"0,00";"20,56";"91,59";"47,81";"0,44";"0,00";"20,56";"0,014";"0,00";"0,000";"1,11";"1,11";"0,00";"0,00";"0,58";"0,38";"0,03";"0,16";"0,00";"0,00";"0,00";"0,02";"0,00"
"19,64";"IARA : GEL ODORIZ GRAND PRIX AUTOMOTIV 70g ICE";"18927";"UN 1";"0,068";"0,89";"0,00";"0,18";"0,00";"20,56";"91,59";"47,81";"0,18";"0,00";"20,56";"0,006";"0,00";"0,000";"0,46";"0,46";"0,00";"0,00";"0,24";"0,16";"0,01";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,64";"IARA : GEL PÓS-SOL CALAMED 120g ALOE VERA";"11552";"UN 1";"0,016";"0,37";"0,00";"0,12";"0,00";"32,09";"70,46";"41,34";"0,12";"0,00";"32,09";"0,002";"0,00";"0,000";"0,22";"0,22";"0,00";"0,00";"0,03";"0,00";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,64";"IARA : GEL YELSEW PT 240g CRISTAL";"1203";"UN 1";"0,030";"0,18";"0,00";"0,16";"0,00";"90,75";"";"100,00";"0,16";"0,00";"90,75";"0,008";"0,00";"0,007";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,65";"IARA : GELACREME SALON LINE 500g ULTRA EXT DEFINIÇÃO";"4494";"UN 1";"0,125";"3,37";"0,01";"0,76";"0,01";"22,47";"46,45";"31,72";"0,76";"0,01";"22,47";"0,075";"0,01";"0,062";"2,30";"2,30";"0,00";"0,00";"0,31";"0,00";"0,06";"0,26";"0,00";"0,00";"0,00";"0,03";"0,00"
"19,65";"IARA : GELATINA COLORIDA Kg";"18115";"KG 1";"0,017";"0,87";"0,00";"0,18";"0,00";"20,74";"72,38";"41,99";"0,18";"0,00";"20,74";"0,000";"0,00";"0,000";"0,50";"0,50";"0,00";"0,00";"0,18";"0,10";"0,01";"0,07";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,65";"IARA : GELATINA DE MARACUJÁ Kg";"18058";"KG 1";"0,021";"1,05";"0,00";"0,18";"0,00";"16,74";"43,98";"30,55";"0,18";"0,00";"16,74";"0,000";"0,00";"0,000";"0,73";"0,65";"0,00";"0,00";"0,22";"0,13";"0,02";"0,08";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,65";"IARA : GELATINA DE MORANGO Kg";"18031";"KG 1";"0,021";"1,23";"0,00";"0,13";"0,00";"10,41";"46,32";"31,66";"0,13";"0,00";"10,41";"0,000";"0,00";"0,000";"0,84";"0,84";"0,00";"0,00";"0,26";"0,15";"0,02";"0,09";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,66";"IARA : GELATINA DE UVA Kg";"18026";"KG 1";"0,043";"2,38";"0,01";"0,36";"0,00";"15,10";"57,11";"36,35";"0,36";"0,00";"15,10";"0,000";"0,00";"0,000";"1,51";"1,51";"0,00";"0,00";"0,51";"0,29";"0,04";"0,18";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,66";"IARA : GFA ABRE FÁCIL HOMEM ARANHA 530ml ";"17794";"UN 1";"0,030";"0,51";"0,00";"0,37";"0,00";"72,75";"";"100,00";"0,37";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,14";"0,09";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,66";"IARA : GFA MARVEL PLASDURAN 550ml SQUEEZE";"10196";"UN 1";"0,034";"0,86";"0,00";"0,08";"0,00";"9,68";"58,57";"36,93";"0,08";"0,00";"9,68";"0,000";"0,00";"0,000";"0,54";"0,54";"0,00";"0,00";"0,23";"0,16";"0,01";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"19,66";"IARA : GFA MICKEY PLASDURAN 450ml SQUEEZE";"10201";"UN 1";"0,029";"0,35";"0,00";"0,25";"0,00";"72,75";"";"100,00";"0,25";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,09";"0,06";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,66";"IARA : GFA PLÁSTICA RETRÔ PLASÚTIL 500ml MICKEY CINTAGE";"10392";"UN 1";"0,020";"0,44";"0,00";"0,32";"0,00";"72,75";"";"100,00";"0,32";"0,00";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,12";"0,08";"0,01";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00"
"19,67";"IARA : GFA TERM TERMOLAR BULE DAMA 500ml VINHO";"9924";"UN 1";"0,036";"2,14";"0,01";"0,46";"0,00";"21,31";"94,38";"48,56";"0,46";"0,00";"21,31";"0,015";"0,00";"0,018";"1,10";"1,10";"0,00";"0,00";"0,58";"0,39";"0,04";"0,16";"0,00";"0,00";"0,00";"0,02";"0,00"
"19,68";"IARA : GFA TERM TERMOLAR RF 9751 1l LUMINA INOX";"9718";"UN 1";"0,035";"4,89";"0,01";"0,62";"0,01";"12,63";"66,34";"39,88";"0,62";"0,01";"12,63";"0,000";"0,00";"0,000";"2,94";"2,94";"0,00";"0,00";"1,33";"0,88";"0,08";"0,37";"0,00";"0,00";"0,00";"0,04";"0,00"
"19,70";"IARA : GFA TERM TRAMONTINA C/BOMBA 1l EXATA PRETO";"10226";"UN 1";"0,053";"5,26";"0,02";"0,36";"0,00";"6,75";"51,52";"34,00";"0,36";"0,00";"6,75";"0,000";"0,00";"0,000";"3,47";"3,47";"0,00";"0,00";"1,43";"0,95";"0,09";"0,40";"0,00";"0,00";"0,01";"0,05";"0,00"
"20,00";"IARA : GFA TERM TRAMONTINA C/BOMBA 1l VERMELHO";"10224";"UN 1";"1,000";"99,99";"0,30";"6,75";"0,07";"6,75";"28,41";"22,12";"6,75";"0,07";"6,75";"0,001";"0,00";"0,001";"77,87";"65,99";"0,00";"0,00";"27,25";"18,00";"1,65";"7,60";"0,00";"0,00";"0,10";"0,90";"0,00"
"20,02";"IARA : GUARD PAPEL ELITE 22X22cm F/DUPLA C/50fls";"4945";"UN 1";"0,730";"5,10";"0,02";"4,63";"0,05";"90,75";"";"100,00";"4,63";"0,05";"90,75";"0,080";"0,01";"0,001";"0,00";"0,00";"0,00";"0,00";"0,47";"0,00";"0,08";"0,39";"0,00";"0,00";"0,01";"0,05";"0,00"
"20,02";"IARA : GUARDA-CHUVA RECEPÇÃO AUT 1,40mt MANHATTAN PTO";"13498";"UN 1";"0,030";"1,05";"0,00";"0,76";"0,01";"72,75";"";"100,00";"0,76";"0,01";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,29";"0,19";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"20,03";"IARA : HASTES FLEXÍVEIS COTONETES C/300";"6893";"UN 1";"0,151";"4,53";"0,01";"1,24";"0,01";"27,43";"57,93";"36,68";"1,24";"0,01";"27,43";"0,000";"0,00";"0,000";"2,87";"2,87";"0,00";"0,00";"0,42";"0,00";"0,07";"0,34";"0,00";"0,00";"0,00";"0,04";"0,00"
"20,04";"IARA : HASTES FLEXÍVEIS YORK C/150";"11284";"UN 1";"0,243";"2,91";"0,01";"0,70";"0,01";"24,11";"50,06";"33,36";"0,70";"0,01";"24,11";"0,012";"0,00";"0,000";"1,94";"1,94";"0,00";"0,00";"0,27";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,03";"0,00"
"20,11";"IARA : INSETICIDA FORTH JARDIM 500mL DEFENDE";"19104";"LI 1";"1,000";"24,99";"0,07";"18,18";"0,19";"72,75";"";"100,00";"18,18";"0,19";"72,75";"0,001";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"6,81";"4,50";"0,41";"1,90";"0,00";"0,00";"0,02";"0,22";"0,00"
"20,12";"IARA : JOGO MICO COPAG";"5058";"UN 1";"0,093";"2,14";"0,01";"0,37";"0,00";"17,12";"79,75";"44,37";"0,37";"0,00";"17,12";"0,000";"0,00";"0,000";"1,19";"1,19";"0,00";"0,00";"0,58";"0,39";"0,04";"0,16";"0,00";"0,00";"0,00";"0,02";"0,00"
"20,13";"IARA : JOGO TRAMONTINA FACAS FELICE C/3 PRETO INOX";"10348";"UN 1";"0,090";"2,70";"0,01";"0,54";"0,01";"19,90";"89,22";"47,15";"0,54";"0,01";"19,90";"0,000";"0,00";"0,000";"1,43";"1,43";"0,00";"0,00";"0,74";"0,49";"0,04";"0,21";"0,00";"0,00";"0,00";"0,02";"0,00"
"20,14";"IARA : JOGO TRAMONTINA TRINCHANTE INOX C/2 PROFIT BRANCO";"10364";"UN 1";"0,077";"4,24";"0,01";"3,08";"0,03";"72,75";"";"100,00";"3,08";"0,03";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"1,15";"0,76";"0,07";"0,32";"0,00";"0,00";"0,00";"0,04";"0,00"
"20,15";"IARA : KARINA HAIR FIXAÇÃO NORMAL 250 ml ANTIFRIZZ";"6118";"UN 1";"0,100";"2,69";"0,01";"0,72";"0,01";"26,80";"56,38";"36,05";"0,72";"0,01";"26,80";"0,023";"0,00";"0,000";"1,72";"1,72";"0,00";"0,00";"0,25";"0,00";"0,04";"0,20";"0,00";"0,00";"0,00";"0,02";"0,00"
