"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Vda Perdida Quantidade";"Vda Perdida Valor";"Venda % Partic.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %";"Peso Bruto";"Peso Brt % Partic.";"Peso Líquido";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Comissão";"Total Impostos";"ICMS s/ Venda";"PIS s/ Venda";"COFINS s/ Venda";"Outros Impostos";"IBS MUN s/ Venda";"IBS UF s/ Venda";"CBS s/ Venda";"IS s/ Venda"
"28,17";"IARA : SH DOVE 175ml VITAMINAS A & E";"19181";"UN 1";"0,286";"5,72";"0,02";"1,93";"0,02";"33,82";"75,66";"43,07";"1,93";"0,02";"33,82";"0,066";"0,00";"0,059";"3,26";"3,26";"0,00";"0,00";"0,53";"0,00";"0,09";"0,43";"0,00";"0,00";"0,01";"0,05";"0,00"
"28,18";"IARA : SH DOVE 175ml ÓLEO MICELAR";"6800";"UN 1";"0,090";"1,80";"0,01";"1,63";"0,02";"90,75";"";"100,00";"1,63";"0,02";"90,75";"0,021";"0,00";"0,019";"0,00";"0,00";"0,00";"0,00";"0,17";"0,00";"0,03";"0,14";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,19";"IARA : SH DOVE 400ml CACHEADOS";"7420";"UN 1";"0,059";"1,90";"0,01";"0,45";"0,00";"23,67";"49,07";"32,92";"0,45";"0,00";"23,67";"0,028";"0,00";"0,024";"1,28";"1,28";"0,00";"0,00";"0,18";"0,00";"0,03";"0,14";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,20";"IARA : SH DOVE 400ml HIDRA-LIS";"7414";"UN 1";"0,070";"2,24";"0,01";"2,03";"0,02";"90,75";"";"100,00";"2,03";"0,02";"90,75";"0,033";"0,00";"0,029";"0,00";"0,00";"0,00";"0,00";"0,21";"0,00";"0,04";"0,17";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,21";"IARA : SH DOVE 400ml VITAM A&E";"7403";"UN 1";"0,060";"1,92";"0,01";"1,74";"0,02";"90,75";"";"100,00";"1,74";"0,02";"90,75";"0,028";"0,00";"0,025";"0,00";"0,00";"0,00";"0,00";"0,18";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,22";"IARA : SH DOVE 400ml ÓLEO MIC";"7405";"UN 1";"0,090";"2,88";"0,01";"2,61";"0,03";"90,75";"";"100,00";"2,61";"0,03";"90,75";"0,042";"0,00";"0,037";"0,00";"0,00";"0,00";"0,00";"0,27";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,23";"IARA : SH DOVE 400ml ÓLEO NUTR";"7402";"UN 1";"0,110";"3,52";"0,01";"3,19";"0,03";"90,75";"";"100,00";"3,19";"0,03";"90,75";"0,051";"0,00";"0,045";"0,00";"0,00";"0,00";"0,00";"0,33";"0,00";"0,06";"0,27";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,24";"IARA : SH DOVE BABY 200ml CAMOMILA";"6688";"UN 1";"0,090";"1,71";"0,01";"1,55";"0,02";"90,75";"";"100,00";"1,55";"0,02";"90,75";"0,021";"0,00";"0,018";"0,00";"0,00";"0,00";"0,00";"0,16";"0,00";"0,03";"0,13";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,24";"IARA : SH DOVE BABY 200ml ENRIQUECIDA";"6677";"UN 1";"0,087";"1,65";"0,00";"0,51";"0,01";"30,81";"66,84";"40,06";"0,51";"0,01";"30,81";"0,020";"0,00";"0,018";"0,99";"0,99";"0,00";"0,00";"0,15";"0,00";"0,03";"0,13";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,25";"IARA : SH ELSEVE 200ml PURE HIALURÔNIC";"12291";"UN 1";"0,117";"2,70";"0,01";"0,79";"0,01";"29,41";"63,03";"38,66";"0,79";"0,01";"29,41";"0,027";"0,00";"0,000";"1,65";"1,65";"0,00";"0,00";"0,25";"0,00";"0,04";"0,21";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,25";"IARA : SH HEAD&SHOULDERS ANT COCEIRA 400ml";"10018";"UN 1";"0,038";"1,63";"0,00";"0,47";"0,00";"28,73";"61,23";"37,98";"0,47";"0,00";"28,73";"0,017";"0,00";"0,016";"1,01";"1,01";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,26";"IARA : SH HEAD&SHOULDERS MEN 400ml 3X1";"10021";"UN 1";"0,059";"2,54";"0,01";"0,73";"0,01";"28,73";"61,23";"37,98";"0,73";"0,01";"28,73";"0,027";"0,00";"0,025";"1,58";"1,58";"0,00";"0,00";"0,24";"0,00";"0,04";"0,19";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,26";"IARA : SH HUGGIES KIDS 360ml HULK NUTR/FORÇA";"2795";"UN 1";"0,070";"1,61";"0,00";"1,46";"0,02";"90,75";"";"100,00";"1,46";"0,02";"90,75";"0,028";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,15";"0,00";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,28";"IARA : SH MONANGE 325ml LISOS TE QUERO";"11509";"UN 1";"0,531";"6,36";"0,02";"2,17";"0,02";"34,12";"76,58";"43,37";"2,17";"0,02";"34,12";"0,193";"0,01";"0,172";"3,60";"3,60";"0,00";"0,00";"0,59";"0,00";"0,10";"0,48";"0,00";"0,00";"0,01";"0,06";"0,00"
"28,29";"IARA : SH MONANGE 325ml RESTAURA QUE EU";"11502";"UN 1";"0,185";"2,21";"0,01";"0,76";"0,01";"34,12";"76,58";"43,37";"0,76";"0,01";"34,12";"0,067";"0,00";"0,060";"1,25";"1,25";"0,00";"0,00";"0,20";"0,00";"0,04";"0,17";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,30";"IARA : SH NIELY GOLD 275ml QUERATINA";"12152";"UN 1";"0,166";"2,32";"0,01";"0,70";"0,01";"30,06";"64,78";"39,31";"0,70";"0,01";"30,06";"0,052";"0,00";"0,000";"1,41";"1,41";"0,00";"0,00";"0,21";"0,00";"0,04";"0,18";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,34";"IARA : SH NIELY GOLD 275ml ÓLEO ARGAN";"12162";"UN 1";"1,000";"13,99";"0,04";"12,70";"0,13";"90,75";"";"100,00";"12,70";"0,13";"90,75";"0,313";"0,02";"0,001";"0,00";"0,00";"0,00";"0,00";"1,29";"0,00";"0,23";"1,06";"0,00";"0,00";"0,01";"0,13";"0,00"
"28,34";"IARA : SH P/CÃES PETBRILHO 2EM1 500ml";"4386";"UN 1";"0,070";"1,33";"0,00";"0,97";"0,01";"72,75";"";"100,00";"0,97";"0,01";"72,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,36";"0,24";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,34";"IARA : SH P/CÃES PETBRILHO FILHOTE 500ml";"4412";"UN 1";"0,048";"0,92";"0,00";"0,13";"0,00";"14,68";"72,22";"41,93";"0,13";"0,00";"14,68";"0,029";"0,00";"0,024";"0,53";"0,53";"0,00";"0,00";"0,25";"0,17";"0,02";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,34";"IARA : SH P/CÃES PETBRILHO NEUTRO 500ml";"4400";"UN 1";"0,083";"1,33";"0,00";"0,16";"0,00";"12,02";"64,66";"39,27";"0,16";"0,00";"12,02";"0,050";"0,00";"0,042";"0,81";"0,81";"0,00";"0,00";"0,36";"0,24";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,34";"IARA : SH P/CÃES PETBRILHO P ESC 500ml";"4365";"UN 1";"0,031";"0,52";"0,00";"0,04";"0,00";"7,85";"54,08";"35,10";"0,04";"0,00";"7,85";"0,018";"0,00";"0,015";"0,34";"0,34";"0,00";"0,00";"0,14";"0,09";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,36";"IARA : SH PALMOLIVE 350ml HYDRATE HIALURÔ";"13362";"UN 1";"0,487";"6,32";"0,02";"2,05";"0,02";"32,44";"71,49";"41,69";"2,05";"0,02";"32,44";"0,190";"0,01";"0,174";"3,69";"3,69";"0,00";"0,00";"0,58";"0,00";"0,10";"0,48";"0,00";"0,00";"0,01";"0,06";"0,00"
"28,37";"IARA : SH PALMOLIVE 650ml NATURALS CERAMIDAS";"2087";"UN 1";"0,279";"5,01";"0,01";"1,22";"0,01";"24,31";"50,50";"33,56";"1,22";"0,01";"24,31";"0,201";"0,01";"0,000";"3,33";"3,33";"0,00";"0,00";"0,46";"0,00";"0,08";"0,38";"0,00";"0,00";"0,01";"0,05";"0,00"
"28,38";"IARA : SH PALMOLIVE 650ml NATURALS NEUTRO";"2088";"UN 1";"0,261";"4,70";"0,01";"1,14";"0,01";"24,31";"50,50";"33,56";"1,14";"0,01";"24,31";"0,189";"0,01";"0,000";"3,12";"3,12";"0,00";"0,00";"0,43";"0,00";"0,08";"0,36";"0,00";"0,00";"0,00";"0,04";"0,00"
"28,39";"IARA : SH PALMOLIVE 650ml NATURALS NUTRÇÃO EXTRAOR";"2089";"UN 1";"0,119";"2,14";"0,01";"0,52";"0,01";"24,31";"50,50";"33,56";"0,52";"0,01";"24,31";"0,086";"0,01";"0,000";"1,42";"1,42";"0,00";"0,00";"0,20";"0,00";"0,04";"0,16";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,40";"IARA : SH PALMOLIVE NAT KIDS 350ml";"3972";"UN 1";"0,090";"1,80";"0,01";"0,57";"0,01";"31,70";"69,36";"40,95";"0,57";"0,01";"31,70";"0,035";"0,00";"0,032";"1,06";"1,06";"0,00";"0,00";"0,17";"0,00";"0,03";"0,14";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,41";"IARA : SH PALMOLIVE NAT KIDS 350ml TOD TP D CABELO";"3957";"UN 1";"0,100";"2,00";"0,01";"0,63";"0,01";"31,70";"69,36";"40,95";"0,63";"0,01";"31,70";"0,039";"0,00";"0,036";"1,18";"1,18";"0,00";"0,00";"0,18";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,41";"IARA : SH PAMPERS GLICERINA INFANTIL 400ml";"8607";"UN 1";"0,049";"1,13";"0,00";"-0,08";"0,00";"-7,21";"2,09";"2,04";"-0,08";"0,00";"-7,21";"0,022";"0,00";"0,020";"1,11";"1,11";"0,00";"0,00";"0,10";"0,00";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,41";"IARA : SH PANTENE 175ml EQUILÍBRIO RAÍZ E PONTAS";"9724";"UN 1";"0,060";"1,38";"0,00";"0,36";"0,00";"26,11";"54,71";"35,36";"0,36";"0,00";"26,11";"0,013";"0,00";"0,012";"0,89";"0,89";"0,00";"0,00";"0,13";"0,00";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,41";"IARA : SH PANTENE 175ml RESTAURAÇÃO";"9708";"UN 1";"0,010";"0,23";"0,00";"0,21";"0,00";"90,75";"";"100,00";"0,21";"0,00";"90,75";"0,002";"0,00";"0,002";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,42";"IARA : SH PANTENE 400ml EQUILÍBRIO";"9431";"UN 1";"0,067";"2,34";"0,01";"0,82";"0,01";"35,26";"80,21";"44,51";"0,82";"0,01";"35,26";"0,031";"0,00";"0,028";"1,30";"1,30";"0,00";"0,00";"0,22";"0,00";"0,04";"0,18";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,43";"IARA : SH PANTENE BOND REPAIR 300ML MOLECULAR";"21787";"UN 1";"0,059";"1,88";"0,01";"0,44";"0,00";"23,64";"49,00";"32,89";"0,44";"0,00";"23,64";"0,021";"0,00";"0,018";"1,26";"1,26";"0,00";"0,00";"0,17";"0,00";"0,03";"0,14";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,45";"IARA : SH PANTENE COLÁGENO 300ml HIDRATA/RESGATA";"8899";"UN 1";"0,176";"5,82";"0,02";"2,08";"0,02";"35,70";"81,64";"44,95";"2,08";"0,02";"35,70";"0,062";"0,00";"0,062";"3,21";"3,21";"0,00";"0,00";"0,54";"0,00";"0,10";"0,44";"0,00";"0,00";"0,01";"0,05";"0,00"
"28,46";"IARA : SH PANTENE QUERATINA 300ml PREENCHE&BLINDA";"9022";"UN 1";"0,090";"2,97";"0,01";"2,69";"0,03";"90,75";"";"100,00";"2,69";"0,03";"90,75";"0,032";"0,00";"0,028";"0,00";"0,00";"0,00";"0,00";"0,27";"0,00";"0,05";"0,23";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,46";"IARA : SH PREVENT YELSEW 230ml CASPA";"1246";"UN 1";"0,020";"0,28";"0,00";"0,25";"0,00";"90,75";"";"100,00";"0,25";"0,00";"90,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,03";"0,00";"0,00";"0,02";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,47";"IARA : SH PROCÃO 500ML PELOS CLAROS";"7337";"UN 1";"0,081";"1,77";"0,01";"0,26";"0,00";"14,54";"71,80";"41,79";"0,26";"0,00";"14,54";"0,045";"0,00";"0,000";"1,03";"1,03";"0,00";"0,00";"0,48";"0,32";"0,03";"0,13";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,47";"IARA : SH SALON LINE 300ml ANTIPOROSIDADE";"3904";"UN 1";"0,030";"0,57";"0,00";"0,52";"0,01";"90,75";"";"100,00";"0,52";"0,01";"90,75";"0,011";"0,00";"0,009";"0,00";"0,00";"0,00";"0,00";"0,05";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH SKALA 325ml #MAIS CACHOS";"4188";"UN 1";"0,094";"0,94";"0,00";"0,30";"0,00";"32,19";"70,77";"41,44";"0,30";"0,00";"32,19";"0,033";"0,00";"0,031";"0,55";"0,55";"0,00";"0,00";"0,09";"0,00";"0,02";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH SKALINHA BEBÊ 200ml SÁLVIA";"4344";"UN 1";"0,096";"0,96";"0,00";"0,28";"0,00";"29,19";"62,44";"38,44";"0,28";"0,00";"29,19";"0,000";"0,00";"0,000";"0,59";"0,59";"0,00";"0,00";"0,09";"0,00";"0,02";"0,07";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH VULT 350ML CHOQUE DE RECON";"8361";"UN 1";"0,040";"0,64";"0,00";"0,58";"0,01";"90,75";"";"100,00";"0,58";"0,01";"90,75";"0,015";"0,00";"0,014";"0,00";"0,00";"0,00";"0,00";"0,06";"0,00";"0,01";"0,05";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH VULT 350ML EXPLOSÃO FORÇA";"8352";"UN 1";"0,080";"1,28";"0,00";"1,16";"0,01";"90,75";"";"100,00";"1,16";"0,01";"90,75";"0,030";"0,00";"0,028";"0,00";"0,00";"0,00";"0,00";"0,12";"0,00";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH VULT 350ML LISOS PROFUNDO";"8355";"UN 1";"0,087";"1,39";"0,00";"-0,06";"0,00";"-4,37";"5,13";"4,88";"-0,06";"0,00";"-4,37";"0,033";"0,00";"0,030";"1,32";"1,32";"0,00";"0,00";"0,13";"0,00";"0,02";"0,11";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH VULT 350ML ÓLEOS PODEROSOS";"8356";"UN 1";"0,040";"0,64";"0,00";"0,58";"0,01";"90,75";"";"100,00";"0,58";"0,01";"90,75";"0,015";"0,00";"0,014";"0,00";"0,00";"0,00";"0,00";"0,06";"0,00";"0,01";"0,05";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,47";"IARA : SH/COND JOHNSON'S BABY 2EM1 200ML";"6698";"UN 1";"0,047";"1,21";"0,00";"0,38";"0,00";"31,38";"68,44";"40,63";"0,38";"0,00";"31,38";"0,011";"0,00";"0,000";"0,72";"0,72";"0,00";"0,00";"0,11";"0,00";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,48";"IARA : SHAM CÃES PETBRILHO ANTI 3EM1 500ml";"4428";"UN 1";"0,088";"2,20";"0,01";"0,26";"0,00";"11,81";"64,11";"39,06";"0,26";"0,00";"11,81";"0,000";"0,00";"0,000";"1,34";"1,34";"0,00";"0,00";"0,60";"0,40";"0,04";"0,17";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,53";"IARA : SONHO AMERICANO Kg";"18154";"KG 1";"0,542";"17,33";"0,05";"2,28";"0,02";"13,18";"3,69";"3,56";"2,28";"0,02";"13,18";"0,001";"0,00";"0,001";"16,72";"13,45";"0,00";"0,00";"1,60";"0,00";"0,29";"1,32";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,58";"IARA : SONHO C/ CREME AVELÃ Kg";"18178";"KG 1";"0,479";"15,80";"0,05";"12,44";"0,13";"78,75";"";"100,00";"12,44";"0,13";"78,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"3,36";"1,90";"0,26";"1,20";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,62";"IARA : SONHO C/ DOCE DE LEITE Kg";"18262";"KG 1";"0,423";"14,81";"0,04";"11,66";"0,12";"78,75";"";"100,00";"11,66";"0,12";"78,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"3,15";"1,78";"0,24";"1,13";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,70";"IARA : SONHO DE CREME Kg";"18142";"KG 1";"0,893";"26,79";"0,08";"21,10";"0,22";"78,75";"";"100,00";"21,10";"0,22";"78,75";"0,001";"0,00";"0,001";"0,00";"0,00";"0,00";"0,00";"5,69";"3,22";"0,44";"2,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,70";"IARA : SOPINHA ORGÂNICA PAPAPÁ 180g LENTI/CAR/LEG";"10073";"UN 1";"0,030";"0,57";"0,00";"0,41";"0,00";"72,75";"";"100,00";"0,41";"0,00";"72,75";"0,010";"0,00";"0,005";"0,00";"0,00";"0,00";"0,00";"0,16";"0,10";"0,01";"0,04";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,72";"IARA : SORV SOBREMEZZA SR.CREME 1,8L BOMBOM TRUFADO";"12306";"UN 1";"0,259";"7,49";"0,02";"1,86";"0,02";"24,87";"38,67";"27,89";"1,86";"0,02";"24,87";"0,233";"0,02";"0,000";"5,40";"4,94";"0,00";"0,00";"0,69";"0,00";"0,12";"0,57";"0,00";"0,00";"0,01";"0,07";"0,00"
"28,73";"IARA : SORV SOBREMEZZA SR.CREME 1,8L CHOCOTELLA";"12310";"UN 1";"0,095";"2,76";"0,01";"0,41";"0,00";"14,83";"31,71";"24,08";"0,41";"0,00";"14,83";"0,086";"0,01";"0,000";"2,10";"2,10";"0,00";"0,00";"0,26";"0,00";"0,05";"0,21";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,74";"IARA : SORV SOBREMEZZA SR.CREME 1,8L COOKIES";"12321";"UN 1";"0,099";"2,88";"0,01";"0,43";"0,00";"14,83";"31,71";"24,08";"0,43";"0,00";"14,83";"0,090";"0,01";"0,000";"2,19";"2,19";"0,00";"0,00";"0,27";"0,00";"0,05";"0,22";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,78";"IARA : SORV SOBREMEZZA SR.CREME 1,8L LEITINHO TRUF";"12332";"UN 1";"0,485";"14,07";"0,04";"3,50";"0,04";"24,87";"38,67";"27,89";"3,50";"0,04";"24,87";"0,438";"0,03";"0,000";"10,14";"9,27";"0,00";"0,00";"1,30";"0,00";"0,23";"1,07";"0,00";"0,00";"0,01";"0,13";"0,00"
"28,79";"IARA : SORV SOBREMEZZA SR.CREME 1,8L UNICÓRNIO";"12381";"UN 1";"0,060";"1,74";"0,01";"1,58";"0,02";"90,75";"";"100,00";"1,58";"0,02";"90,75";"0,054";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,16";"0,00";"0,03";"0,13";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,79";"IARA : SORVETE JUNDIA 1,5 NATA/MORANGO";"400";"UN 1";"0,037";"1,36";"0,00";"0,29";"0,00";"21,69";"44,80";"30,94";"0,29";"0,00";"21,69";"0,029";"0,00";"0,026";"0,94";"0,94";"0,00";"0,00";"0,13";"0,00";"0,02";"0,10";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,80";"IARA : SORVETE JUNDIA 2L ABACAXI";"384";"UN 1";"0,051";"2,02";"0,01";"1,84";"0,02";"90,75";"";"100,00";"1,84";"0,02";"90,75";"0,057";"0,00";"0,048";"0,00";"0,00";"0,00";"0,00";"0,19";"0,00";"0,03";"0,15";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,80";"IARA : SORVETE JUNDIA 2L ABACAXI C/VINHO";"385";"UN 1";"0,020";"0,80";"0,00";"0,73";"0,01";"90,75";"";"100,00";"0,73";"0,01";"90,75";"0,023";"0,00";"0,019";"0,00";"0,00";"0,00";"0,00";"0,07";"0,00";"0,01";"0,06";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,81";"IARA : SORVETE JUNDIA 2L COCO";"370";"UN 1";"0,117";"4,68";"0,01";"4,24";"0,04";"90,75";"";"100,00";"4,24";"0,04";"90,75";"0,132";"0,01";"0,111";"0,00";"0,00";"0,00";"0,00";"0,43";"0,00";"0,08";"0,36";"0,00";"0,00";"0,00";"0,04";"0,00"
"28,81";"IARA : TALCO CREMOSO GIOVANNA 120g BABY GIBY";"9782";"UN 1";"0,010";"0,19";"0,00";"0,17";"0,00";"90,75";"";"100,00";"0,17";"0,00";"90,75";"0,000";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,02";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,81";"IARA : TALCO HERBISSIMO 100G FRESH";"4734";"UN 1";"0,103";"1,13";"0,00";"0,36";"0,00";"31,70";"69,34";"40,95";"0,36";"0,00";"31,70";"0,013";"0,00";"0,010";"0,67";"0,67";"0,00";"0,00";"0,10";"0,00";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,81";"IARA : TALCO INFANTIL GRANADO BEBÊ 100g";"4581";"UN 1";"0,052";"1,04";"0,00";"0,29";"0,00";"28,12";"59,68";"37,37";"0,29";"0,00";"28,12";"0,007";"0,00";"0,005";"0,65";"0,65";"0,00";"0,00";"0,10";"0,00";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,82";"IARA : TAPETE HIGI HONEY PET´P/CÃES C/7 UN";"12899";"UN 1";"0,151";"3,01";"0,01";"0,32";"0,00";"10,50";"60,65";"37,75";"0,32";"0,00";"10,50";"0,055";"0,00";"0,000";"1,87";"1,87";"0,00";"0,00";"0,82";"0,54";"0,05";"0,23";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,82";"IARA : TAÇA NADIR BARONE VINHO 600ml";"9964";"UN 1";"0,051";"1,18";"0,00";"0,15";"0,00";"12,51";"65,99";"39,76";"0,15";"0,00";"12,51";"0,013";"0,00";"0,000";"0,71";"0,71";"0,00";"0,00";"0,32";"0,21";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,82";"IARA : TERRA PREPARADA MATO VERDE 2kg SAMAMBAIA";"17293";"UN 1";"0,091";"1,54";"0,00";"0,23";"0,00";"14,60";"45,71";"31,37";"0,23";"0,00";"14,60";"0,000";"0,00";"0,000";"1,06";"0,90";"0,00";"0,00";"0,42";"0,28";"0,03";"0,12";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,82";"IARA : TERRA VEGETAL MATO VERDE 1,5Kg";"10560";"UN 1";"0,024";"0,19";"0,00";"0,02";"0,00";"11,55";"63,39";"38,80";"0,02";"0,00";"11,55";"0,000";"0,00";"0,000";"0,12";"0,12";"0,00";"0,00";"0,05";"0,03";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,83";"IARA : TESOURA MULT USO ORIGINAL N8 BASIC POL";"9736";"UN 1";"0,208";"2,50";"0,01";"0,70";"0,01";"28,20";"59,87";"37,45";"0,70";"0,01";"28,20";"0,000";"0,00";"0,000";"1,56";"1,56";"0,00";"0,00";"0,23";"0,00";"0,04";"0,19";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,84";"IARA : THERMO FLAME BLACK SKULL 60 TABLETS";"5855";"UN 1";"0,117";"3,74";"0,01";"2,72";"0,03";"72,75";"";"100,00";"2,72";"0,03";"72,75";"0,011";"0,00";"0,006";"0,00";"0,00";"0,00";"0,00";"1,02";"0,67";"0,06";"0,28";"0,00";"0,00";"0,00";"0,03";"0,00"
"28,84";"IARA : TIGELA NADIR AMERICANA C/TAMPA600ml";"9423";"UN 1";"0,058";"0,99";"0,00";"0,13";"0,00";"13,36";"68,38";"40,61";"0,13";"0,00";"13,36";"0,000";"0,00";"0,000";"0,59";"0,59";"0,00";"0,00";"0,27";"0,18";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,84";"IARA : TINT COR E TON 7.1 LOURO CINZA";"11923";"UN 1";"0,050";"1,00";"0,00";"0,26";"0,00";"25,92";"54,24";"35,17";"0,26";"0,00";"25,92";"0,008";"0,00";"0,000";"0,65";"0,65";"0,00";"0,00";"0,09";"0,00";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,85";"IARA : TINT GARNIER NUTRISSE 50 AMÊN CAS CLA";"12130";"UN 1";"0,077";"2,23";"0,01";"0,64";"0,01";"28,74";"61,26";"37,99";"0,64";"0,01";"28,74";"0,015";"0,00";"0,000";"1,38";"1,38";"0,00";"0,00";"0,21";"0,00";"0,04";"0,17";"0,00";"0,00";"0,00";"0,02";"0,00"
"28,85";"IARA : TINT GARNIER NUTRISSE 71 LO CINZ MED";"12132";"UN 1";"0,016";"0,47";"0,00";"0,13";"0,00";"28,74";"61,26";"37,99";"0,13";"0,00";"28,74";"0,003";"0,00";"0,000";"0,29";"0,29";"0,00";"0,00";"0,04";"0,00";"0,01";"0,04";"0,00";"0,00";"0,00";"0,00";"0,00"
"28,85";"IARA : TINT L´ORÉAL CASTING CREME GLOSS 100 PRETO NOITE";"11155";"UN 1";"0,027";"1,24";"0,00";"0,25";"0,00";"20,54";"42,43";"29,79";"0,25";"0,00";"20,54";"0,005";"0,00";"0,000";"0,87";"0,87";"0,00";"0,00";"0,11";"0,00";"0,02";"0,09";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,85";"IARA : TINT L´ORÉAL CASTING CREME GLOSS 200 PRETO";"11162";"UN 1";"0,023";"1,06";"0,00";"0,22";"0,00";"20,54";"42,43";"29,79";"0,22";"0,00";"20,54";"0,005";"0,00";"0,000";"0,75";"0,75";"0,00";"0,00";"0,10";"0,00";"0,02";"0,08";"0,00";"0,00";"0,00";"0,01";"0,00"
"28,86";"IARA : TINT L´ORÉAL IMÉDIA EXCELLENCE CR 1 PRETO";"11961";"UN 1";"0,070";"2,80";"0,01";"2,54";"0,03";"90,75";"";"100,00";"2,54";"0,03";"90,75";"0,016";"0,00";"0,000";"0,00";"0,00";"0,00";"0,00";"0,26";"0,00";"0,05";"0,21";"0,00";"0,00";"0,00";"0,03";"0,00"
