"%Acm. Venda";"Comprador : Produto";"Código Produto";"Embalagem Unitária";"Venda Quantidade";"Unitário Médio";"Venda Valor";"Venda % Partic.";"Promoções Valor Venda";"Promoc. % Partic.";"% Partic. Prom./Vda.";"Lucratividade Unit.";"Lucratividade Valor";"Lucrat. % Partic.";"Lucrat. Marg %";"% Mark Up";"% Mark Down";"Custo Bruto";"Custo Líquido";"Despesa Venda";"Compror";"Comissão";"Impostos Venda";"Valor IBS  Municipal";"Valor IBS  Estadual";"Valor CBS";"Valor IS";"Contribuição Valor";"Contrib. % Partic.";"Contrib. Marg %*";"Peso Bruto";"Peso Brt %Partic.";"Peso Líquido";"Volume M ³";"Valor Venda Por M³";"Custo Fiscal Unit.";"Custo Fiscal Total (Estq)";"Custo Fiscal Total";"Despesa Fixa";"Desconto Fixo";"Vlr Descto Fora de NF"
"69,38";"ROBERTO : CHOC B LACTA 80g DIAMANTE NEGRO";"5997";"UN 1";"3,000";"10,99";"32,97";"0,02";"0,00";"0,00";"0,00";"3,48";"10,43";"0,03";"31,63";"53,49";"34,85";"21,48";"19,49";"0,00";"0,00";"0,00";"3,05";"0,00";"0,00";"0,00";"0,00";"10,43";"0,03";"34,86";"0,255";"0,00";"0,240";"0,000";"0,000";"6,57";"1.530,96";"19,71";"0,00";"0,00";"0,00"
"69,41";"ROBERTO : CHOC B LACTA 80g LAKA";"5991";"UN 1";"4,000";"10,99";"43,96";"0,03";"0,00";"0,00";"0,00";"3,48";"13,90";"0,04";"31,62";"53,49";"34,85";"28,64";"25,99";"0,00";"0,00";"0,00";"4,07";"0,00";"0,00";"0,00";"0,00";"13,90";"0,04";"34,84";"0,340";"0,00";"0,320";"0,000";"0,000";"6,50";"1.001,43";"26,01";"0,00";"0,00";"0,00"
"69,42";"ROBERTO : CHOC B LACTA 80g LAKA DIAMANTE N";"5994";"UN 1";"1,000";"10,99";"10,99";"0,01";"0,00";"0,00";"0,00";"3,48";"3,48";"0,01";"31,67";"53,49";"34,85";"7,16";"6,50";"0,00";"0,00";"0,00";"1,02";"0,00";"0,00";"0,00";"0,00";"3,48";"0,01";"34,89";"0,085";"0,00";"0,080";"0,000";"0,000";"6,59";"1.192,21";"6,59";"0,00";"0,00";"0,00"
"69,43";"ROBERTO : CHOC B LACTA 80g SHOT";"6000";"UN 1";"2,000";"10,99";"21,98";"0,01";"0,00";"0,00";"0,00";"3,48";"6,95";"0,02";"31,62";"53,49";"34,85";"14,32";"13,00";"0,00";"0,00";"0,00";"2,03";"0,00";"0,00";"0,00";"0,00";"6,95";"0,02";"34,84";"0,170";"0,00";"0,160";"0,000";"0,000";"6,53";"176,20";"13,05";"0,00";"0,00";"0,00"
"69,47";"ROBERTO : CHOC B LACTA INTENSE 85g 40% CACAU";"5868";"UN 1";"3,000";"19,99";"59,97";"0,04";"0,00";"0,00";"0,00";"3,71";"11,13";"0,03";"18,56";"25,70";"20,44";"47,71";"43,29";"0,00";"0,00";"0,00";"5,55";"0,00";"0,00";"0,00";"0,00";"11,13";"0,03";"20,45";"0,261";"0,00";"0,255";"0,000";"0,000";"13,76";"261,50";"41,29";"0,00";"0,00";"0,00"
"69,48";"ROBERTO : CHOC B LACTA RECHEADOS 104g CARAMELO";"20379";"UN 1";"2,000";"10,99";"21,98";"0,01";"0,00";"0,00";"0,00";"3,48";"6,95";"0,02";"31,62";"53,49";"34,85";"14,32";"13,00";"0,00";"0,00";"0,00";"2,03";"0,00";"0,00";"0,00";"0,00";"6,95";"0,02";"34,84";"0,212";"0,00";"0,208";"0,000";"0,000";"6,50";"19,49";"13,00";"0,00";"0,00";"0,00"
"69,49";"ROBERTO : CHOC B LACTA RECHEADOS 98g SONHO DE VALSA";"6040";"UN 1";"1,000";"10,99";"10,99";"0,01";"0,00";"0,00";"0,00";"3,48";"3,48";"0,01";"31,67";"53,49";"34,85";"7,16";"6,50";"0,00";"0,00";"0,00";"1,02";"0,00";"0,00";"0,00";"0,00";"3,48";"0,01";"34,89";"0,099";"0,00";"0,098";"0,000";"0,000";"6,52";"482,56";"6,52";"0,00";"0,00";"0,00"
"69,51";"ROBERTO : CHOC B LACTA RECHEADOS OURO BCO 98g ";"6044";"UN 1";"3,000";"10,99";"32,97";"0,02";"0,00";"0,00";"0,00";"2,46";"7,38";"0,02";"22,38";"53,49";"34,85";"21,48";"17,15";"0,00";"0,00";"0,00";"8,44";"0,00";"0,00";"0,00";"0,00";"7,38";"0,02";"30,09";"0,315";"0,00";"0,000";"0,000";"0,000";"5,72";"68,63";"17,16";"0,00";"0,00";"0,00"
"69,57";"ROBERTO : CHOC B NESTLÉ RECHEADO 90g NEGRESCO";"20324";"UN 1";"8,000";"10,99";"87,92";"0,06";"0,00";"0,00";"0,00";"3,85";"30,83";"0,08";"35,07";"63,06";"38,67";"53,92";"48,96";"0,00";"0,00";"0,00";"8,13";"0,00";"0,00";"0,00";"0,00";"30,83";"0,08";"38,64";"0,720";"0,01";"0,720";"0,001";"87.920,000";"5,84";"1.056,73";"46,71";"0,00";"0,00";"0,00"
"69,61";"ROBERTO : CHOC B NESTLÉ RECHEADO 90g PRESTÍGIO";"20323";"UN 1";"5,000";"10,99";"54,95";"0,04";"0,00";"0,00";"0,00";"3,85";"19,27";"0,05";"35,07";"63,06";"38,67";"33,70";"30,60";"0,00";"0,00";"0,00";"5,08";"0,00";"0,00";"0,00";"0,00";"19,27";"0,05";"38,64";"0,450";"0,01";"0,450";"0,001";"54.950,000";"5,99";"700,58";"29,94";"0,00";"0,00";"0,00"
